condition,self_competition,n_tf,combo_id,family_tfs,template_xml
self_off,false,1,combo001_CREB1,CREB1,outputs/figure3/templates/self_off/n01_combo001_CREB1.xml
self_off,false,1,combo002_CREB3,CREB3,outputs/figure3/templates/self_off/n01_combo002_CREB3.xml
self_off,false,1,combo003_CREB5,CREB5,outputs/figure3/templates/self_off/n01_combo003_CREB5.xml
self_off,false,1,combo004_CREM,CREM,outputs/figure3/templates/self_off/n01_combo004_CREM.xml
self_off,false,1,combo005_ATF1,ATF1,outputs/figure3/templates/self_off/n01_combo005_ATF1.xml
self_off,false,1,combo006_ATF4,ATF4,outputs/figure3/templates/self_off/n01_combo006_ATF4.xml
self_off,false,1,combo007_ATF7,ATF7,outputs/figure3/templates/self_off/n01_combo007_ATF7.xml
self_off,false,2,combo008_CREB1-CREB3,CREB1-CREB3,outputs/figure3/templates/self_off/n02_combo008_CREB1-CREB3.xml
self_off,false,2,combo009_CREB1-CREB5,CREB1-CREB5,outputs/figure3/templates/self_off/n02_combo009_CREB1-CREB5.xml
self_off,false,2,combo010_CREB1-CREM,CREB1-CREM,outputs/figure3/templates/self_off/n02_combo010_CREB1-CREM.xml
self_off,false,2,combo011_CREB1-ATF1,CREB1-ATF1,outputs/figure3/templates/self_off/n02_combo011_CREB1-ATF1.xml
self_off,false,2,combo012_CREB1-ATF4,CREB1-ATF4,outputs/figure3/templates/self_off/n02_combo012_CREB1-ATF4.xml
self_off,false,2,combo013_CREB1-ATF7,CREB1-ATF7,outputs/figure3/templates/self_off/n02_combo013_CREB1-ATF7.xml
self_off,false,2,combo014_CREB3-CREB5,CREB3-CREB5,outputs/figure3/templates/self_off/n02_combo014_CREB3-CREB5.xml
self_off,false,2,combo015_CREB3-CREM,CREB3-CREM,outputs/figure3/templates/self_off/n02_combo015_CREB3-CREM.xml
self_off,false,2,combo016_CREB3-ATF1,CREB3-ATF1,outputs/figure3/templates/self_off/n02_combo016_CREB3-ATF1.xml
self_off,false,2,combo017_CREB3-ATF4,CREB3-ATF4,outputs/figure3/templates/self_off/n02_combo017_CREB3-ATF4.xml
self_off,false,2,combo018_CREB3-ATF7,CREB3-ATF7,outputs/figure3/templates/self_off/n02_combo018_CREB3-ATF7.xml
self_off,false,2,combo019_CREB5-CREM,CREB5-CREM,outputs/figure3/templates/self_off/n02_combo019_CREB5-CREM.xml
self_off,false,2,combo020_CREB5-ATF1,CREB5-ATF1,outputs/figure3/templates/self_off/n02_combo020_CREB5-ATF1.xml
self_off,false,2,combo021_CREB5-ATF4,CREB5-ATF4,outputs/figure3/templates/self_off/n02_combo021_CREB5-ATF4.xml
self_off,false,2,combo022_CREB5-ATF7,CREB5-ATF7,outputs/figure3/templates/self_off/n02_combo022_CREB5-ATF7.xml
self_off,false,2,combo023_CREM-ATF1,CREM-ATF1,outputs/figure3/templates/self_off/n02_combo023_CREM-ATF1.xml
self_off,false,2,combo024_CREM-ATF4,CREM-ATF4,outputs/figure3/templates/self_off/n02_combo024_CREM-ATF4.xml
self_off,false,2,combo025_CREM-ATF7,CREM-ATF7,outputs/figure3/templates/self_off/n02_combo025_CREM-ATF7.xml
self_off,false,2,combo026_ATF1-ATF4,ATF1-ATF4,outputs/figure3/templates/self_off/n02_combo026_ATF1-ATF4.xml
